word,dim_0,dim_1
design pattern,0.3690938,-0.13270515
heuristic,0.46559042,0.11465317
requirement,-0.42992878,-0.46007848
implication,0.0605935,0.6490804
principle,-0.20580596,0.018947825
rule of thumb,0.18149163,-0.0012687613
consideration,0.19099654,0.24890056
common practice,0.21832217,0.06628774
convention,-0.06467332,0.015923524
recommendation,0.049418926,-0.2860672
best practice,-0.009739235,-0.10940327
standard,-0.19426619,-0.113331676
norm,-0.109908715,0.13044286
guardrail,-0.54620045,0.07922794
paradigm,0.007620969,0.25422522
style guide,0.04006496,-0.06010906
guideline,0.0082906475,-0.21916252
