"PC1","PC2","word","color"
-0.333308483874231,0.736361185138556,"design pattern","black"
-0.902985344516894,-0.974109247730105,"heuristic","black"
2.40645141568059,1.08419986768855,"requirement","black"
-2.49523374580589,0.292603035003573,"implication","black"
0.53064998332881,0.693448583390931,"principle","#7C3478"
0.051136194950042,-0.421468068780629,"rule of thumb","#43597E"
-1.61851595850847,0.51318223286808,"consideration","#5479B2"
0.420256885678276,-0.490800522141353,"common practice","#6756B2"
0.589374577994904,-0.304265493816506,"convention","#635392"
-0.631156053104939,-0.260642877113029,"recommendation","#7064B4"
-0.367628670182995,-0.342419000959914,"best practice","#924DB6"
1.09045172569131,-0.213796561147551,"standard","#A74BB1"
1.08208827378312,-0.172523782918194,"norm","#924DB6"
0.830244859880522,-2.07328180305574,"guardrail","#C55D9F"
0.133183010823118,1.73799558683929,"paradigm","#71285B"
-0.258998141604651,0.294964648676162,"style guide","#814597"
-0.526010530212622,-0.09944778194213,"guideline","#675698"
