index,word
0,design pattern
1,heuristic
2,requirement
3,implication
4,principle
5,rule of thumb
6,consideration
7,common practice
8,convention
9,recommendation
10,best practice
11,standard
12,norm
13,guardrail
14,paradigm
15,style guide
16,guideline
