participant_id,collection,consent,started_at,consented_at,completed_at,n_trials,user_agent,demo_age,demo_gender,demo_languages,demo_years_in_vis
64lFD7jdo5dp3LK3NwM5vc1GPv73,vis-guidelines-true-run,True,2026-05-28T06:59:03.307000+00:00,2026-05-28T06:59:25.813000+00:00,2026-05-28T07:09:57.203000+00:00,100,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,more than 50,female,Other than English,more than 20
6y7J7w83yShMwiac1pcSRnf8EZs1,vis-guidelines-true-run,True,2026-06-01T12:43:01.740000+00:00,2026-06-01T12:48:40.863000+00:00,2026-06-01T12:59:53.756000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",36,female,spanish,6
BFyMCG4lTZM3X1KVAzbrocBvbwE3,vis-guidelines-true-run,True,2026-05-30T11:49:41.707000+00:00,2026-05-30T11:49:59.744000+00:00,2026-05-30T11:56:11.265000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",45,Male,Chinese,15
BG5YajMaNcdd2kPDkf5A4oFgrOX2,vis-guidelines-true-run,True,2026-05-31T11:36:30.658000+00:00,2026-05-31T11:37:05.609000+00:00,2026-05-31T11:48:17.889000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",37,Male,Portuguese,15
HfDUY4IolFWtd5jvqvce6ZOI83e2,vis-guidelines-true-run,True,2026-05-30T15:52:10.526000+00:00,2026-05-30T15:52:31.028000+00:00,2026-05-30T16:02:26.313000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",42,male,German,15
HwRAKQek02f9V9bWGxdnyIShelD2,vis-guidelines-true-run,True,2026-05-30T16:02:02.221000+00:00,2026-05-30T16:02:50.266000+00:00,2026-05-30T16:31:34.953000+00:00,100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",35,Male,Korean,6
LS07UwATJqeOhem87tJA7oA5ZUs2,vis-guidelines-true-run,True,2026-05-28T18:50:57.748000+00:00,2026-05-28T18:51:00.380000+00:00,2026-05-28T18:56:51.728000+00:00,92,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",32,female,"English
",4
OMcD0oMo9QN3b4jqAtVvimAzSet1,vis-guidelines-true-run,True,2026-05-29T02:51:52.407000+00:00,2026-05-29T02:53:37.851000+00:00,2026-05-29T03:03:20.558000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",41,Male,English,8
RFgn6Ur6ApbJlcR3xICZyop5HYJ3,vis-guidelines-true-run,True,2026-05-28T11:19:06.046000+00:00,2026-05-28T11:19:43.835000+00:00,2026-05-28T11:29:05.089000+00:00,100,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,35,male,German,7
SNnwRMyYDjUYnmIu18pmn733D0u1,vis-guidelines-true-run,True,2026-05-28T12:05:05.646000+00:00,2026-05-28T12:05:24.363000+00:00,2026-05-28T12:16:20.064000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",54,male,German,20
SsFUrwAyA2TF2bN6T9HUVkd2gA73,vis-guidelines-true-run,True,2026-05-28T13:58:40.039000+00:00,2026-05-28T13:59:39.614000+00:00,2026-05-28T14:13:28.008000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",48,female,english,20
UuA7ztR5raVV1h1Y2q4EzdiBIZx1,vis-guidelines-true-run,True,2026-05-30T10:28:34.474000+00:00,2026-05-30T10:28:53.500000+00:00,2026-05-30T10:38:44.888000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",58,Male,English,35
Y3yNLXVWnVMVkUMpv9dVakq7zJC3,vis-guidelines-true-run,True,2026-06-01T09:22:29.950000+00:00,2026-06-01T09:23:41.057000+00:00,2026-06-01T09:33:56.125000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",late 50s,mostly male,Anglais.,community? Hmmmm ... I'm an imposter. Doing VIS for > 40 years.
YflnI9bIELZulvyE99tLSNVSLJI2,vis-guidelines-true-run,True,2026-05-28T04:06:54.874000+00:00,2026-05-28T04:07:04.765000+00:00,2026-05-28T04:11:05.392000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",30,female,Chinese,5
Yv9oGsLrHza4W2vv0SuFxPwCNgh2,vis-guidelines-true-run,True,2026-05-28T15:32:43.126000+00:00,2026-05-28T18:50:59.831000+00:00,2026-05-28T19:08:54.547000+00:00,100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",47,Male,English,25 years
Z3OfgmxgZbR6Qh0j8XuULjcIftH2,vis-guidelines-true-run,True,2026-06-01T07:46:27.622000+00:00,2026-06-01T07:46:52.859000+00:00,2026-06-01T08:13:38.615000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",54,male,German,34
ZTaAQP2SkmbuQqAFU3qPRKdDQt63,vis-guidelines-true-run,True,2026-06-01T07:01:30.122000+00:00,2026-06-01T07:02:42.839000+00:00,2026-06-01T07:18:11.845000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",29,Woman ,French,5 years
iDDU5d3JwbgRhkJyAemCHkHia492,vis-guidelines-true-run,True,2026-05-30T20:50:06.769000+00:00,2026-05-30T20:50:20.709000+00:00,2026-05-30T21:01:18.309000+00:00,100,Mozilla/5.0 (Android 15; Mobile; rv:151.0) Gecko/151.0 Firefox/151.0,39,female,German,14
kwACu1vaGZUjvUybSjga5KB9VJ03,vis-guidelines-true-run,True,2026-05-31T13:16:03.985000+00:00,2026-05-31T13:16:20.206000+00:00,2026-05-31T13:28:44.542000+00:00,100,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,64,Male,English,30
l4F9Teblj9eH4Xw0x8JfMTlY0j42,vis-guidelines-true-run,True,2026-05-29T11:53:31.386000+00:00,2026-05-29T11:53:35.618000+00:00,2026-05-29T12:07:44.886000+00:00,100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36 Edg/148.0.0.0",49,Male,"Greek, English",15
lTjhpojHMDedr50k7FiePrsMhCa2,vis-guidelines-true-run,True,2026-06-01T13:48:41.122000+00:00,2026-06-01T13:48:57.474000+00:00,2026-06-01T14:09:24.892000+00:00,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",66,Male,Mandarin ,38
mbvrU88439YI5Spi8xjcKF4HnuU2,vis-guidelines-true-run,True,2026-05-28T08:04:25.349000+00:00,2026-05-28T08:05:55.079000+00:00,2026-05-28T08:19:11.417000+00:00,100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",30,Female,Chinese,8
mqgpq5SXDlh6juxpJRB05PHCCb33,vis-guidelines-true-run,True,2026-06-01T07:24:19.308000+00:00,2026-06-01T08:39:58.179000+00:00,2026-06-01T08:50:55.753000+00:00,100,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,54,M,German,22
oVDi7FAKf1XV50VLNdxfNHMea4B2,vis-guidelines-true-run,True,2026-06-01T06:34:42.687000+00:00,2026-06-01T06:35:55.616000+00:00,2026-06-01T07:01:06.877000+00:00,100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",51,male,German,27
