pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.48124998807907104,128,0,0.02036905288696289,1920,17,4,500000,1000,,1.0,0.5307291746139526,0.6931471228599548,0.512499988079071,0.6931472420692444,0,1581896800,2,4
1001,1920,15015,1921920,23520,0.512499988079071,128,1000,0.024121999740600586,1920,17,4,500000,1000,,1001.0,0.668749988079071,0.6099911332130432,0.6229166388511658,0.6589443683624268,4,1581896800,2,4
2001,1920,30015,3841920,23520,0.6229166388511658,128,2000,0.028065204620361328,1920,17,4,500000,1000,,2001.0,0.6838541626930237,0.5935172438621521,0.6187499761581421,0.648187518119812,8,1581896800,2,4
3001,1920,45015,5761920,23520,0.6187499761581421,128,3000,0.032935142517089844,1920,17,4,500000,1000,,3001.0,0.6895833611488342,0.5880270004272461,0.625,0.6438754796981812,13,1581896800,2,4
4001,1920,60015,7681920,23520,0.625,128,4000,0.036646127700805664,1920,17,4,500000,1000,,4001.0,0.6885416507720947,0.585584819316864,0.6270833611488342,0.64254230260849,17,1581896800,2,4
5001,1920,75015,9601920,23520,0.6270833611488342,128,5000,0.04056692123413086,1920,17,4,500000,1000,,5001.0,0.6911458373069763,0.58420729637146,0.6291666626930237,0.6417931914329529,22,1581896800,2,4
6001,1920,90015,11521920,23520,0.6291666626930237,128,6000,0.044268131256103516,1920,17,4,500000,1000,,6001.0,0.6890624761581421,0.5832897424697876,0.6291666626930237,0.641292154788971,26,1581896800,2,4
7001,1920,105015,13441920,23520,0.6291666626930237,128,7000,0.04871416091918945,1920,17,4,500000,1000,,7001.0,0.6895833611488342,0.5826413035392761,0.6270833611488342,0.6411892771720886,31,1581896800,2,4
8001,1920,120015,15361920,23520,0.6270833611488342,128,8000,0.05246305465698242,1920,17,4,500000,1000,,8001.0,0.6911458373069763,0.5821579694747925,0.6291666626930237,0.6409806609153748,35,1581896800,2,4
9001,1920,135015,17281920,23520,0.6291666626930237,128,9000,0.0561981201171875,1920,17,4,500000,1000,,9001.0,0.6911458373069763,0.5817663669586182,0.6291666626930237,0.6409480571746826,39,1581896800,2,4
10001,1920,150015,19201920,23520,0.6291666626930237,128,10000,0.05992531776428223,1920,17,4,500000,1000,,10001.0,0.6916666626930237,0.5814543962478638,0.6270833611488342,0.6405485272407532,43,1581896800,2,4
11001,1920,165015,21121920,23520,0.6270833611488342,128,11000,0.06373238563537598,1920,17,4,500000,1000,,11001.0,0.6927083134651184,0.5811951756477356,0.6312500238418579,0.6404991745948792,47,1581896800,2,4
12001,1920,180015,23041920,23520,0.6312500238418579,128,12000,0.06742525100708008,1920,17,4,500000,1000,,12001.0,0.6927083134651184,0.5809763669967651,0.6291666626930237,0.6409740447998047,51,1581896800,2,4
13001,1920,195015,24961920,23520,0.6291666626930237,128,13000,0.07152223587036133,1920,17,4,500000,1000,,13001.0,0.6927083134651184,0.5807852149009705,0.6291666626930237,0.6407326459884644,55,1581896800,2,4
14001,1920,210015,26881920,23520,0.6291666626930237,128,14000,0.07526206970214844,1920,17,4,500000,1000,,14001.0,0.6937500238418579,0.5806199312210083,0.6270833611488342,0.6408613920211792,59,1581896800,2,4
15001,1920,225015,28801920,23520,0.6270833611488342,128,15000,0.07896709442138672,1920,17,4,500000,1000,,15001.0,0.6932291388511658,0.5804744362831116,0.6270833611488342,0.6407884955406189,63,1581896800,2,4
16001,1920,240015,30721920,23520,0.6270833611488342,128,16000,0.08272385597229004,1920,17,4,500000,1000,,16001.0,0.692187488079071,0.5803460478782654,0.6270833611488342,0.6409703493118286,67,1581896800,2,4
17001,1920,255015,32641920,23520,0.6270833611488342,128,17000,0.08647775650024414,1920,17,4,500000,1000,,17001.0,0.6932291388511658,0.5802284479141235,0.6270833611488342,0.6413478851318359,71,1581896800,2,4
18001,1920,270015,34561920,23520,0.6270833611488342,128,18000,0.09019780158996582,1920,17,4,500000,1000,,18001.0,0.6942708492279053,0.5801235437393188,0.6270833611488342,0.6410566568374634,75,1581896800,2,4
19001,1920,285015,36481920,23520,0.6270833611488342,128,19000,0.09392762184143066,1920,17,4,500000,1000,,19001.0,0.6947916746139526,0.5800276398658752,0.6270833611488342,0.6409447193145752,79,1581896800,2,4
20001,1920,300015,38401920,23520,0.6270833611488342,128,20000,0.09781432151794434,1920,17,4,500000,1000,,20001.0,0.6942708492279053,0.5799435973167419,0.625,0.640899121761322,83,1581896800,2,4
21001,1920,315015,40321920,23520,0.625,128,21000,0.1014852523803711,1920,17,4,500000,1000,,21001.0,0.6958333253860474,0.5798633098602295,0.6291666626930237,0.64101243019104,87,1581896800,2,4
22001,1920,330015,42241920,23520,0.6291666626930237,128,22000,0.10523033142089844,1920,17,4,500000,1000,,22001.0,0.6947916746139526,0.5797882080078125,0.625,0.641036331653595,91,1581896800,2,4
23001,1920,345015,44161920,23520,0.625,128,23000,0.1089012622833252,1920,17,4,500000,1000,,23001.0,0.6942708492279053,0.5797233581542969,0.6270833611488342,0.6414071917533875,95,1581896800,2,4
24001,1920,360015,46081920,23520,0.6270833611488342,128,24000,0.11255526542663574,1920,17,4,500000,1000,,24001.0,0.6932291388511658,0.5796601176261902,0.625,0.6413392424583435,99,1581896800,2,4
