pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.5041666626930237,128,0,0.025727033615112305,1920,17,4,500000,1000,,1.0,0.5062500238418579,0.6931472420692444,0.512499988079071,0.6931471228599548,0,2004452504,3,4
1001,1920,15015,1921920,23520,0.512499988079071,128,1000,0.02947092056274414,1920,17,4,500000,1000,,1001.0,0.6625000238418579,0.6152434945106506,0.6458333134651184,0.6229591369628906,3,2004452504,3,4
2001,1920,30015,3841920,23520,0.6458333134651184,128,2000,0.03358101844787598,1920,17,4,500000,1000,,2001.0,0.6781250238418579,0.6000922322273254,0.65625,0.6136497855186462,7,2004452504,3,4
3001,1920,45015,5761920,23520,0.65625,128,3000,0.03765606880187988,1920,17,4,500000,1000,,3001.0,0.6864583492279053,0.5951951742172241,0.6541666388511658,0.6122445464134216,11,2004452504,3,4
4001,1920,60015,7681920,23520,0.6541666388511658,128,4000,0.042114973068237305,1920,17,4,500000,1000,,4001.0,0.682812511920929,0.5928220152854919,0.6645833253860474,0.6118258237838745,16,2004452504,3,4
5001,1920,75015,9601920,23520,0.6645833253860474,128,5000,0.045870065689086914,1920,17,4,500000,1000,,5001.0,0.684374988079071,0.5914021730422974,0.6645833253860474,0.6112155318260193,20,2004452504,3,4
6001,1920,90015,11521920,23520,0.6645833253860474,128,6000,0.04970121383666992,1920,17,4,500000,1000,,6001.0,0.684374988079071,0.5904414653778076,0.6625000238418579,0.6109179258346558,24,2004452504,3,4
7001,1920,105015,13441920,23520,0.6625000238418579,128,7000,0.05375313758850098,1920,17,4,500000,1000,,7001.0,0.684374988079071,0.5897315740585327,0.6604166626930237,0.6110600233078003,28,2004452504,3,4
8001,1920,120015,15361920,23520,0.6604166626930237,128,8000,0.057894229888916016,1920,17,4,500000,1000,,8001.0,0.684374988079071,0.589196503162384,0.6604166626930237,0.6111389994621277,32,2004452504,3,4
9001,1920,135015,17281920,23520,0.6604166626930237,128,9000,0.061846017837524414,1920,17,4,500000,1000,,9001.0,0.684374988079071,0.5887695550918579,0.6604166626930237,0.6110436916351318,36,2004452504,3,4
10001,1920,150015,19201920,23520,0.6604166626930237,128,10000,0.06564927101135254,1920,17,4,500000,1000,,10001.0,0.682812511920929,0.5884177088737488,0.6625000238418579,0.6103911995887756,40,2004452504,3,4
11001,1920,165015,21121920,23520,0.6625000238418579,128,11000,0.06952619552612305,1920,17,4,500000,1000,,11001.0,0.6864583492279053,0.5881221890449524,0.6583333611488342,0.6109893918037415,44,2004452504,3,4
12001,1920,180015,23041920,23520,0.6583333611488342,128,12000,0.07335710525512695,1920,17,4,500000,1000,,12001.0,0.6869791746139526,0.587873637676239,0.6604166626930237,0.6109340190887451,48,2004452504,3,4
13001,1920,195015,24961920,23520,0.6604166626930237,128,13000,0.07736730575561523,1920,17,4,500000,1000,,13001.0,0.6864583492279053,0.5876553058624268,0.6604166626930237,0.6109892725944519,52,2004452504,3,4
14001,1920,210015,26881920,23520,0.6604166626930237,128,14000,0.08249521255493164,1920,17,4,500000,1000,,14001.0,0.6859375238418579,0.5874705910682678,0.6625000238418579,0.6109225749969482,56,2004452504,3,4
15001,1920,225015,28801920,23520,0.6625000238418579,128,15000,0.08631157875061035,1920,17,4,500000,1000,,15001.0,0.6869791746139526,0.5872973203659058,0.6604166626930237,0.6112083792686462,60,2004452504,3,4
16001,1920,240015,30721920,23520,0.6604166626930237,128,16000,0.09017467498779297,1920,17,4,500000,1000,,16001.0,0.6875,0.5871382355690002,0.6625000238418579,0.6112778782844543,64,2004452504,3,4
17001,1920,255015,32641920,23520,0.6625000238418579,128,17000,0.09425973892211914,1920,17,4,500000,1000,,17001.0,0.6880208253860474,0.5870043635368347,0.6583333611488342,0.6111503839492798,68,2004452504,3,4
18001,1920,270015,34561920,23520,0.6583333611488342,128,18000,0.09807372093200684,1920,17,4,500000,1000,,18001.0,0.6864583492279053,0.5868862867355347,0.6583333611488342,0.6113564968109131,72,2004452504,3,4
