pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.5083333253860474,128,0,0.029218196868896484,1920,17,2,500000,1000,,1.0,0.5197916626930237,0.6931471228599548,0.5229166746139526,0.6931471228599548,0,2001063066,4,2
1001,1920,15015,1921920,23520,0.5229166746139526,128,1000,0.03307652473449707,1920,17,2,500000,1000,,1001.0,0.6505208611488342,0.6351597309112549,0.6458333134651184,0.6355969309806824,4,2001063066,4,2
2001,1920,30015,3841920,23520,0.6458333134651184,128,2000,0.03799152374267578,1920,17,2,500000,1000,,2001.0,0.65625,0.6217253804206848,0.668749988079071,0.6218894124031067,8,2001063066,4,2
3001,1920,45015,5761920,23520,0.668749988079071,128,3000,0.04212450981140137,1920,17,2,500000,1000,,3001.0,0.6598958373069763,0.6178633570671082,0.6875,0.6176925897598267,12,2001063066,4,2
4001,1920,60015,7681920,23520,0.6875,128,4000,0.045891523361206055,1920,17,2,500000,1000,,4001.0,0.6552083492279053,0.6162827610969543,0.6895833611488342,0.6160479784011841,16,2001063066,4,2
5001,1920,75015,9601920,23520,0.6895833611488342,128,5000,0.049666404724121094,1920,17,2,500000,1000,,5001.0,0.6557291746139526,0.6154395937919617,0.6875,0.6147848963737488,20,2001063066,4,2
6001,1920,90015,11521920,23520,0.6875,128,6000,0.0535433292388916,1920,17,2,500000,1000,,6001.0,0.65625,0.614923894405365,0.6875,0.6143388748168945,24,2001063066,4,2
7001,1920,105015,13441920,23520,0.6875,128,7000,0.05757427215576172,1920,17,2,500000,1000,,7001.0,0.6572916507720947,0.6146067380905151,0.6875,0.6140773296356201,28,2001063066,4,2
8001,1920,120015,15361920,23520,0.6875,128,8000,0.06144523620605469,1920,17,2,500000,1000,,8001.0,0.6583333611488342,0.6143948435783386,0.6875,0.6133937239646912,32,2001063066,4,2
9001,1920,135015,17281920,23520,0.6875,128,9000,0.06526827812194824,1920,17,2,500000,1000,,9001.0,0.653124988079071,0.6142464876174927,0.6895833611488342,0.6134366393089294,37,2001063066,4,2
10001,1920,150015,19201920,23520,0.6895833611488342,128,10000,0.06924724578857422,1920,17,2,500000,1000,,10001.0,0.65625,0.6141381859779358,0.6875,0.6131044030189514,41,2001063066,4,2
11001,1920,165015,21121920,23520,0.6875,128,11000,0.07307839393615723,1920,17,2,500000,1000,,11001.0,0.6572916507720947,0.6140557527542114,0.6875,0.6127755045890808,45,2001063066,4,2
12001,1920,180015,23041920,23520,0.6875,128,12000,0.07706904411315918,1920,17,2,500000,1000,,12001.0,0.65625,0.614001452922821,0.6895833611488342,0.6127166152000427,50,2001063066,4,2
13001,1920,195015,24961920,23520,0.6895833611488342,128,13000,0.08093094825744629,1920,17,2,500000,1000,,13001.0,0.6541666388511658,0.6139567494392395,0.6895833611488342,0.6125636696815491,54,2001063066,4,2
14001,1920,210015,26881920,23520,0.6895833611488342,128,14000,0.08496999740600586,1920,17,2,500000,1000,,14001.0,0.6541666388511658,0.6139172911643982,0.6916666626930237,0.6132803559303284,59,2001063066,4,2
15001,1920,225015,28801920,23520,0.6916666626930237,128,15000,0.08996105194091797,1920,17,2,500000,1000,,15001.0,0.6567708253860474,0.6138915419578552,0.6895833611488342,0.6126793622970581,63,2001063066,4,2
16001,1920,240015,30721920,23520,0.6895833611488342,128,16000,0.09376096725463867,1920,17,2,500000,1000,,16001.0,0.65625,0.6138657927513123,0.6895833611488342,0.61243736743927,67,2001063066,4,2
17001,1920,255015,32641920,23520,0.6895833611488342,128,17000,0.0984489917755127,1920,17,2,500000,1000,,17001.0,0.6567708253860474,0.6138495802879333,0.6916666626930237,0.612579345703125,71,2001063066,4,2
18001,1920,270015,34561920,23520,0.6916666626930237,128,18000,0.10241889953613281,1920,17,2,500000,1000,,18001.0,0.6557291746139526,0.6138402819633484,0.6916666626930237,0.6124011278152466,75,2001063066,4,2
19001,1920,285015,36481920,23520,0.6916666626930237,128,19000,0.10669469833374023,1920,17,2,500000,1000,,19001.0,0.653124988079071,0.6138293147087097,0.6854166388511658,0.612232506275177,79,2001063066,4,2
20001,1920,300015,38401920,23520,0.6854166388511658,128,20000,0.11105847358703613,1920,17,2,500000,1000,,20001.0,0.6536458134651184,0.6138127446174622,0.6895833611488342,0.6123915314674377,83,2001063066,4,2
21001,1920,315015,40321920,23520,0.6895833611488342,128,21000,0.11502647399902344,1920,17,2,500000,1000,,21001.0,0.6541666388511658,0.6138111352920532,0.6854166388511658,0.612191379070282,87,2001063066,4,2
22001,1920,330015,42241920,23520,0.6854166388511658,128,22000,0.11886739730834961,1920,17,2,500000,1000,,22001.0,0.6536458134651184,0.6138010025024414,0.6833333373069763,0.6124440431594849,91,2001063066,4,2
23001,1920,345015,44161920,23520,0.6833333373069763,128,23000,0.12311029434204102,1920,17,2,500000,1000,,23001.0,0.6536458134651184,0.6137977242469788,0.6854166388511658,0.6122326254844666,96,2001063066,4,2
24001,1920,360015,46081920,23520,0.6854166388511658,128,24000,0.12745165824890137,1920,17,2,500000,1000,,24001.0,0.6536458134651184,0.6137956380844116,0.6854166388511658,0.6127887964248657,100,2001063066,4,2
25001,1920,375015,48001920,23520,0.6854166388511658,128,25000,0.13123774528503418,1920,17,2,500000,1000,,25001.0,0.651562511920929,0.6137964725494385,0.6833333373069763,0.6126887202262878,104,2001063066,4,2
26001,1920,390015,49921920,23520,0.6833333373069763,128,26000,0.13602280616760254,1920,17,2,500000,1000,,26001.0,0.6541666388511658,0.613791286945343,0.6791666746139526,0.612641453742981,108,2001063066,4,2
27001,1920,405015,51841920,23520,0.6791666746139526,128,27000,0.13985967636108398,1920,17,2,500000,1000,,27001.0,0.6546875238418579,0.6137892603874207,0.6833333373069763,0.612602174282074,112,2001063066,4,2
28001,1920,420015,53761920,23520,0.6833333373069763,128,28000,0.14381766319274902,1920,17,2,500000,1000,,28001.0,0.653124988079071,0.6137826442718506,0.6854166388511658,0.6126750707626343,116,2001063066,4,2
29001,1920,435015,55681920,23520,0.6854166388511658,128,29000,0.14763259887695312,1920,17,2,500000,1000,,29001.0,0.653124988079071,0.6137889623641968,0.6854166388511658,0.6125141978263855,120,2001063066,4,2
30001,1920,450015,57601920,23520,0.6854166388511658,128,30000,0.15144634246826172,1920,17,2,500000,1000,,30001.0,0.6526041626930237,0.6137843728065491,0.6833333373069763,0.6128914952278137,125,2001063066,4,2
31001,1920,465015,59521920,23520,0.6833333373069763,128,31000,0.1556103229522705,1920,17,2,500000,1000,,31001.0,0.653124988079071,0.6137815713882446,0.6812499761581421,0.6125781536102295,129,2001063066,4,2
32001,1920,480015,61441920,23520,0.6812499761581421,128,32000,0.15966248512268066,1920,17,2,500000,1000,,32001.0,0.6541666388511658,0.6137815117835999,0.6833333373069763,0.6125116944313049,134,2001063066,4,2
33001,1920,495015,63361920,23520,0.6833333373069763,128,33000,0.16349554061889648,1920,17,2,500000,1000,,33001.0,0.6546875238418579,0.613782525062561,0.6833333373069763,0.612025260925293,138,2001063066,4,2
34001,1920,510015,65281920,23520,0.6833333373069763,128,34000,0.16742563247680664,1920,17,2,500000,1000,,34001.0,0.6536458134651184,0.6137850880622864,0.6812499761581421,0.6130020618438721,142,2001063066,4,2
35001,1920,525015,67201920,23520,0.6812499761581421,128,35000,0.1714918613433838,1920,17,2,500000,1000,,35001.0,0.6536458134651184,0.613784909248352,0.6833333373069763,0.612076997756958,146,2001063066,4,2
36001,1920,540015,69121920,23520,0.6833333373069763,128,36000,0.17529869079589844,1920,17,2,500000,1000,,36001.0,0.653124988079071,0.61378413438797,0.6791666746139526,0.6130595803260803,150,2001063066,4,2
37001,1920,555015,71041920,23520,0.6791666746139526,128,37000,0.17925453186035156,1920,17,2,500000,1000,,37001.0,0.653124988079071,0.6137809157371521,0.6812499761581421,0.6126325726509094,154,2001063066,4,2
38001,1920,570015,72961920,23520,0.6812499761581421,128,38000,0.18312430381774902,1920,17,2,500000,1000,,38001.0,0.653124988079071,0.6137866973876953,0.6812499761581421,0.612573504447937,158,2001063066,4,2
39001,1920,585015,74881920,23520,0.6812499761581421,128,39000,0.18689393997192383,1920,17,2,500000,1000,,39001.0,0.6536458134651184,0.6137834787368774,0.6833333373069763,0.6122178435325623,162,2001063066,4,2
40001,1920,600015,76801920,23520,0.6833333373069763,128,40000,0.19140291213989258,1920,17,2,500000,1000,,40001.0,0.6526041626930237,0.6137827038764954,0.6854166388511658,0.6121389865875244,166,2001063066,4,2
41001,1920,615015,78721920,23520,0.6854166388511658,128,41000,0.19521617889404297,1920,17,2,500000,1000,,41001.0,0.651562511920929,0.6137823462486267,0.6833333373069763,0.6122735738754272,171,2001063066,4,2
42001,1920,630015,80641920,23520,0.6833333373069763,128,42000,0.19900822639465332,1920,17,2,500000,1000,,42001.0,0.6526041626930237,0.6137807369232178,0.6812499761581421,0.6127287149429321,174,2001063066,4,2
43001,1920,645015,82561920,23520,0.6812499761581421,128,43000,0.20296216011047363,1920,17,2,500000,1000,,43001.0,0.6520833373069763,0.613778829574585,0.6833333373069763,0.6125576496124268,178,2001063066,4,2
44001,1920,660015,84481920,23520,0.6833333373069763,128,44000,0.2071988582611084,1920,17,2,500000,1000,,44001.0,0.6520833373069763,0.6137799620628357,0.6833333373069763,0.6130265593528748,182,2001063066,4,2
45001,1920,675015,86401920,23520,0.6833333373069763,128,45000,0.21121478080749512,1920,17,2,500000,1000,,45001.0,0.6541666388511658,0.6137790679931641,0.6812499761581421,0.6124522089958191,186,2001063066,4,2
