pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.47708332538604736,128,0,0.05689382553100586,1920,17,5,500000,1000,,1.0,0.5005208253860474,0.6931472420692444,0.48750001192092896,0.6931471228599548,0,1668795609,1,5
1001,1920,15015,1921920,23520,0.48750001192092896,128,1000,0.06077980995178223,1920,17,5,500000,1000,,1001.0,0.6697916388511658,0.613879382610321,0.6645833253860474,0.6123225688934326,4,1668795609,1,5
2001,1920,30015,3841920,23520,0.6645833253860474,128,2000,0.06478095054626465,1920,17,5,500000,1000,,2001.0,0.6729166507720947,0.6020852327346802,0.6499999761581421,0.6009979248046875,8,1668795609,1,5
3001,1920,45015,5761920,23520,0.6499999761581421,128,3000,0.06893515586853027,1920,17,5,500000,1000,,3001.0,0.675000011920929,0.5982869267463684,0.6541666388511658,0.5958583950996399,12,1668795609,1,5
4001,1920,60015,7681920,23520,0.6541666388511658,128,4000,0.07281303405761719,1920,17,5,500000,1000,,4001.0,0.676562488079071,0.5964714884757996,0.6520833373069763,0.5940293073654175,17,1668795609,1,5
5001,1920,75015,9601920,23520,0.6520833373069763,128,5000,0.0768589973449707,1920,17,5,500000,1000,,5001.0,0.676562488079071,0.595382034778595,0.6604166626930237,0.5925249457359314,21,1668795609,1,5
6001,1920,90015,11521920,23520,0.6604166626930237,128,6000,0.08118391036987305,1920,17,5,500000,1000,,6001.0,0.6760416626930237,0.5946613550186157,0.6583333611488342,0.5916420817375183,25,1668795609,1,5
7001,1920,105015,13441920,23520,0.6583333611488342,128,7000,0.08509612083435059,1920,17,5,500000,1000,,7001.0,0.6744791865348816,0.5941253304481506,0.6583333611488342,0.5909464359283447,29,1668795609,1,5
8001,1920,120015,15361920,23520,0.6583333611488342,128,8000,0.08906006813049316,1920,17,5,500000,1000,,8001.0,0.6760416626930237,0.5937053561210632,0.6604166626930237,0.5906522870063782,33,1668795609,1,5
9001,1920,135015,17281920,23520,0.6604166626930237,128,9000,0.09460806846618652,1920,17,5,500000,1000,,9001.0,0.6744791865348816,0.5933806300163269,0.6625000238418579,0.5896888971328735,38,1668795609,1,5
10001,1920,150015,19201920,23520,0.6625000238418579,128,10000,0.09862494468688965,1920,17,5,500000,1000,,10001.0,0.6744791865348816,0.5930894017219543,0.6625000238418579,0.5897336602210999,42,1668795609,1,5
11001,1920,165015,21121920,23520,0.6625000238418579,128,11000,0.10287117958068848,1920,17,5,500000,1000,,11001.0,0.6760416626930237,0.5928516387939453,0.668749988079071,0.5896311402320862,46,1668795609,1,5
12001,1920,180015,23041920,23520,0.668749988079071,128,12000,0.10675048828125,1920,17,5,500000,1000,,12001.0,0.6760416626930237,0.5926474332809448,0.6666666865348816,0.5892048478126526,51,1668795609,1,5
13001,1920,195015,24961920,23520,0.6666666865348816,128,13000,0.11068344116210938,1920,17,5,500000,1000,,13001.0,0.676562488079071,0.5924715399742126,0.6666666865348816,0.5891532897949219,55,1668795609,1,5
14001,1920,210015,26881920,23520,0.6666666865348816,128,14000,0.11502337455749512,1920,17,5,500000,1000,,14001.0,0.6776041388511658,0.5923078060150146,0.6666666865348816,0.5889162421226501,59,1668795609,1,5
15001,1920,225015,28801920,23520,0.6666666865348816,128,15000,0.11941719055175781,1920,17,5,500000,1000,,15001.0,0.6770833134651184,0.5921685695648193,0.6708333492279053,0.5890829563140869,63,1668795609,1,5
16001,1920,240015,30721920,23520,0.6708333492279053,128,16000,0.12331295013427734,1920,17,5,500000,1000,,16001.0,0.6781250238418579,0.5920434594154358,0.668749988079071,0.5886585116386414,67,1668795609,1,5
