pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.512499988079071,128,0,0.02239394187927246,1920,17,2,500000,1000,,1.0,0.5083333253860474,0.6931472420692444,0.5249999761581421,0.6931472420692444,0,1482573285,3,2
1001,1920,15015,1921920,23520,0.5249999761581421,128,1000,0.0270388126373291,1920,17,2,500000,1000,,1001.0,0.6411458253860474,0.6316391229629517,0.6604166626930237,0.6395255923271179,4,1482573285,3,2
2001,1920,30015,3841920,23520,0.6604166626930237,128,2000,0.03163886070251465,1920,17,2,500000,1000,,2001.0,0.6395833492279053,0.6254222989082336,0.6708333492279053,0.6275615096092224,9,1482573285,3,2
3001,1920,45015,5761920,23520,0.6708333492279053,128,3000,0.03637576103210449,1920,17,2,500000,1000,,3001.0,0.645312488079071,0.6226139068603516,0.6791666746139526,0.6188449263572693,14,1482573285,3,2
4001,1920,60015,7681920,23520,0.6791666746139526,128,4000,0.041104793548583984,1920,17,2,500000,1000,,4001.0,0.653124988079071,0.6199340224266052,0.6791666746139526,0.6121727824211121,18,1482573285,3,2
5001,1920,75015,9601920,23520,0.6791666746139526,128,5000,0.045686960220336914,1920,17,2,500000,1000,,5001.0,0.6572916507720947,0.6181763410568237,0.6770833134651184,0.6088403463363647,23,1482573285,3,2
6001,1920,90015,11521920,23520,0.6770833134651184,128,6000,0.050241947174072266,1920,17,2,500000,1000,,6001.0,0.6614583134651184,0.6170627474784851,0.6770833134651184,0.6069747805595398,28,1482573285,3,2
7001,1920,105015,13441920,23520,0.6770833134651184,128,7000,0.05508780479431152,1920,17,2,500000,1000,,7001.0,0.6598958373069763,0.6163928508758545,0.6666666865348816,0.6060636043548584,33,1482573285,3,2
8001,1920,120015,15361920,23520,0.6666666865348816,128,8000,0.059842586517333984,1920,17,2,500000,1000,,8001.0,0.6619791388511658,0.615965723991394,0.6625000238418579,0.6053410172462463,37,1482573285,3,2
9001,1920,135015,17281920,23520,0.6625000238418579,128,9000,0.06450057029724121,1920,17,2,500000,1000,,9001.0,0.6614583134651184,0.6156815886497498,0.6645833253860474,0.6052882075309753,42,1482573285,3,2
10001,1920,150015,19201920,23520,0.6645833253860474,128,10000,0.06909394264221191,1920,17,2,500000,1000,,10001.0,0.6604166626930237,0.6154937744140625,0.6645833253860474,0.6050476431846619,47,1482573285,3,2
11001,1920,165015,21121920,23520,0.6645833253860474,128,11000,0.07369089126586914,1920,17,2,500000,1000,,11001.0,0.6619791388511658,0.615353524684906,0.6666666865348816,0.6048023700714111,51,1482573285,3,2
12001,1920,180015,23041920,23520,0.6666666865348816,128,12000,0.07823896408081055,1920,17,2,500000,1000,,12001.0,0.6614583134651184,0.615251362323761,0.6666666865348816,0.6049652695655823,56,1482573285,3,2
13001,1920,195015,24961920,23520,0.6666666865348816,128,13000,0.08282017707824707,1920,17,2,500000,1000,,13001.0,0.659375011920929,0.6151775121688843,0.6666666865348816,0.6047701239585876,61,1482573285,3,2
14001,1920,210015,26881920,23520,0.6666666865348816,128,14000,0.08739209175109863,1920,17,2,500000,1000,,14001.0,0.6614583134651184,0.6151139736175537,0.6645833253860474,0.6048275232315063,65,1482573285,3,2
15001,1920,225015,28801920,23520,0.6645833253860474,128,15000,0.0919806957244873,1920,17,2,500000,1000,,15001.0,0.660937488079071,0.615069568157196,0.6645833253860474,0.6047218441963196,70,1482573285,3,2
16001,1920,240015,30721920,23520,0.6645833253860474,128,16000,0.09659385681152344,1920,17,2,500000,1000,,16001.0,0.6604166626930237,0.6150327324867249,0.6645833253860474,0.6048864126205444,75,1482573285,3,2
17001,1920,255015,32641920,23520,0.6645833253860474,128,17000,0.1013636589050293,1920,17,2,500000,1000,,17001.0,0.660937488079071,0.6150060296058655,0.6645833253860474,0.6045478582382202,79,1482573285,3,2
18001,1920,270015,34561920,23520,0.6645833253860474,128,18000,0.105987548828125,1920,17,2,500000,1000,,18001.0,0.6604166626930237,0.6149876713752747,0.6645833253860474,0.6049032211303711,84,1482573285,3,2
19001,1920,285015,36481920,23520,0.6645833253860474,128,19000,0.11054635047912598,1920,17,2,500000,1000,,19001.0,0.6598958373069763,0.6149662733078003,0.6645833253860474,0.6049687266349792,89,1482573285,3,2
20001,1920,300015,38401920,23520,0.6645833253860474,128,20000,0.11512970924377441,1920,17,2,500000,1000,,20001.0,0.660937488079071,0.6149604320526123,0.6604166626930237,0.6048414707183838,93,1482573285,3,2
21001,1920,315015,40321920,23520,0.6604166626930237,128,21000,0.1197047233581543,1920,17,2,500000,1000,,21001.0,0.6614583134651184,0.6149415969848633,0.668749988079071,0.6050432920455933,98,1482573285,3,2
22001,1920,330015,42241920,23520,0.668749988079071,128,22000,0.12427091598510742,1920,17,2,500000,1000,,22001.0,0.6619791388511658,0.6149263381958008,0.6604166626930237,0.6047731041908264,103,1482573285,3,2
23001,1920,345015,44161920,23520,0.6604166626930237,128,23000,0.12902379035949707,1920,17,2,500000,1000,,23001.0,0.6598958373069763,0.6149259805679321,0.6625000238418579,0.6042708158493042,107,1482573285,3,2
24001,1920,360015,46081920,23520,0.6625000238418579,128,24000,0.13361191749572754,1920,17,2,500000,1000,,24001.0,0.660937488079071,0.6149110198020935,0.6645833253860474,0.6045944690704346,112,1482573285,3,2
25001,1920,375015,48001920,23520,0.6645833253860474,128,25000,0.13817691802978516,1920,17,2,500000,1000,,25001.0,0.6614583134651184,0.6149094700813293,0.6625000238418579,0.6044519543647766,117,1482573285,3,2
26001,1920,390015,49921920,23520,0.6625000238418579,128,26000,0.14276885986328125,1920,17,2,500000,1000,,26001.0,0.6604166626930237,0.6149044632911682,0.6645833253860474,0.6042042970657349,121,1482573285,3,2
27001,1920,405015,51841920,23520,0.6645833253860474,128,27000,0.14748382568359375,1920,17,2,500000,1000,,27001.0,0.659375011920929,0.6148992776870728,0.6666666865348816,0.6047114133834839,126,1482573285,3,2
28001,1920,420015,53761920,23520,0.6666666865348816,128,28000,0.15264272689819336,1920,17,2,500000,1000,,28001.0,0.660937488079071,0.6148984432220459,0.6666666865348816,0.6043969988822937,131,1482573285,3,2
29001,1920,435015,55681920,23520,0.6666666865348816,128,29000,0.1574876308441162,1920,17,2,500000,1000,,29001.0,0.6598958373069763,0.6148942112922668,0.6645833253860474,0.6046769618988037,136,1482573285,3,2
30001,1920,450015,57601920,23520,0.6645833253860474,128,30000,0.16208338737487793,1920,17,2,500000,1000,,30001.0,0.660937488079071,0.6148909330368042,0.6645833253860474,0.6044565439224243,140,1482573285,3,2
31001,1920,465015,59521920,23520,0.6645833253860474,128,31000,0.1666884422302246,1920,17,2,500000,1000,,31001.0,0.6598958373069763,0.6148910522460938,0.6625000238418579,0.6044216752052307,145,1482573285,3,2
32001,1920,480015,61441920,23520,0.6625000238418579,128,32000,0.17123937606811523,1920,17,2,500000,1000,,32001.0,0.660937488079071,0.6148917078971863,0.6666666865348816,0.6045089960098267,150,1482573285,3,2
33001,1920,495015,63361920,23520,0.6666666865348816,128,33000,0.17582416534423828,1920,17,2,500000,1000,,33001.0,0.660937488079071,0.6148902177810669,0.6583333611488342,0.6043046116828918,154,1482573285,3,2
34001,1920,510015,65281920,23520,0.6583333611488342,128,34000,0.18039298057556152,1920,17,2,500000,1000,,34001.0,0.659375011920929,0.6148858666419983,0.6666666865348816,0.6044532656669617,159,1482573285,3,2
35001,1920,525015,67201920,23520,0.6666666865348816,128,35000,0.18496298789978027,1920,17,2,500000,1000,,35001.0,0.660937488079071,0.6148831844329834,0.6625000238418579,0.6049206256866455,164,1482573285,3,2
36001,1920,540015,69121920,23520,0.6625000238418579,128,36000,0.18955612182617188,1920,17,2,500000,1000,,36001.0,0.6614583134651184,0.6148832440376282,0.6625000238418579,0.6046447157859802,168,1482573285,3,2
37001,1920,555015,71041920,23520,0.6625000238418579,128,37000,0.19425320625305176,1920,17,2,500000,1000,,37001.0,0.6598958373069763,0.6148818731307983,0.6604166626930237,0.6047476530075073,173,1482573285,3,2
38001,1920,570015,72961920,23520,0.6604166626930237,128,38000,0.19904112815856934,1920,17,2,500000,1000,,38001.0,0.6598958373069763,0.61488276720047,0.6583333611488342,0.6045783162117004,178,1482573285,3,2
39001,1920,585015,74881920,23520,0.6583333611488342,128,39000,0.20363306999206543,1920,17,2,500000,1000,,39001.0,0.6604166626930237,0.6148799657821655,0.65625,0.6047407388687134,183,1482573285,3,2
40001,1920,600015,76801920,23520,0.65625,128,40000,0.20818114280700684,1920,17,2,500000,1000,,40001.0,0.660937488079071,0.6148794889450073,0.6583333611488342,0.6048782467842102,187,1482573285,3,2
41001,1920,615015,78721920,23520,0.6583333611488342,128,41000,0.21280527114868164,1920,17,2,500000,1000,,41001.0,0.6614583134651184,0.6148766279220581,0.6583333611488342,0.6048126220703125,192,1482573285,3,2
42001,1920,630015,80641920,23520,0.6583333611488342,128,42000,0.21738028526306152,1920,17,2,500000,1000,,42001.0,0.6604166626930237,0.6148785352706909,0.6625000238418579,0.6046058535575867,197,1482573285,3,2
43001,1920,645015,82561920,23520,0.6625000238418579,128,43000,0.22264337539672852,1920,17,2,500000,1000,,43001.0,0.659375011920929,0.6148772835731506,0.6625000238418579,0.6047935485839844,201,1482573285,3,2
44001,1920,660015,84481920,23520,0.6625000238418579,128,44000,0.22729849815368652,1920,17,2,500000,1000,,44001.0,0.6598958373069763,0.614875853061676,0.6625000238418579,0.6044015288352966,206,1482573285,3,2
45001,1920,675015,86401920,23520,0.6625000238418579,128,45000,0.23189759254455566,1920,17,2,500000,1000,,45001.0,0.6619791388511658,0.6148806810379028,0.6604166626930237,0.6046833395957947,211,1482573285,3,2
46001,1920,690015,88321920,23520,0.6604166626930237,128,46000,0.23647761344909668,1920,17,2,500000,1000,,46001.0,0.6619791388511658,0.6148788928985596,0.6645833253860474,0.6043660640716553,216,1482573285,3,2
47001,1920,705015,90241920,23520,0.6645833253860474,128,47000,0.2412126064300537,1920,17,2,500000,1000,,47001.0,0.660937488079071,0.6148808002471924,0.6604166626930237,0.6048433780670166,220,1482573285,3,2
48001,1920,720015,92161920,23520,0.6604166626930237,128,48000,0.24598050117492676,1920,17,2,500000,1000,,48001.0,0.6604166626930237,0.6148788928985596,0.6645833253860474,0.6044382452964783,225,1482573285,3,2
49001,1920,735015,94081920,23520,0.6645833253860474,128,49000,0.2505815029144287,1920,17,2,500000,1000,,49001.0,0.6583333611488342,0.6148830056190491,0.6645833253860474,0.6044999957084656,230,1482573285,3,2
50001,1920,750015,96001920,23520,0.6645833253860474,128,50000,0.2552525997161865,1920,17,2,500000,1000,,50001.0,0.6598958373069763,0.614880383014679,0.6645833253860474,0.6044989824295044,234,1482573285,3,2
51001,1920,765015,97921920,23520,0.6645833253860474,128,51000,0.2598395347595215,1920,17,2,500000,1000,,51001.0,0.6598958373069763,0.614880383014679,0.6604166626930237,0.6047562956809998,239,1482573285,3,2
52001,1920,780015,99841920,23520,0.6604166626930237,128,52000,0.26440858840942383,1920,17,2,500000,1000,,52001.0,0.659375011920929,0.6148744821548462,0.6604166626930237,0.6047302484512329,244,1482573285,3,2
53001,1920,795015,101761920,23520,0.6604166626930237,128,53000,0.2690155506134033,1920,17,2,500000,1000,,53001.0,0.6598958373069763,0.6148766875267029,0.6583333611488342,0.6045430302619934,248,1482573285,3,2
54001,1920,810015,103681920,23520,0.6583333611488342,128,54000,0.2736518383026123,1920,17,2,500000,1000,,54001.0,0.660937488079071,0.6148768067359924,0.6604166626930237,0.6045494675636292,253,1482573285,3,2
