pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.49791666865348816,128,0,0.022439956665039062,1920,17,4,500000,1000,,1.0,0.5088541507720947,0.6931472420692444,0.5145833492279053,0.6931471228599548,0,1818043732,4,4
1001,1920,15015,1921920,23520,0.5145833492279053,128,1000,0.02703118324279785,1920,17,4,500000,1000,,1001.0,0.6770833134651184,0.6103742718696594,0.6645833253860474,0.6249251961708069,4,1818043732,4,4
2001,1920,30015,3841920,23520,0.6645833253860474,128,2000,0.031617164611816406,1920,17,4,500000,1000,,2001.0,0.6807291507720947,0.5984068512916565,0.6583333611488342,0.6140615940093994,9,1818043732,4,4
3001,1920,45015,5761920,23520,0.6583333611488342,128,3000,0.0362391471862793,1920,17,4,500000,1000,,3001.0,0.6812499761581421,0.5945876836776733,0.6604166626930237,0.6108636856079102,14,1818043732,4,4
4001,1920,60015,7681920,23520,0.6604166626930237,128,4000,0.041207313537597656,1920,17,4,500000,1000,,4001.0,0.6822916865348816,0.5927022099494934,0.6625000238418579,0.6094210147857666,19,1818043732,4,4
5001,1920,75015,9601920,23520,0.6625000238418579,128,5000,0.04604220390319824,1920,17,4,500000,1000,,5001.0,0.6812499761581421,0.5915566086769104,0.6625000238418579,0.6089353561401367,24,1818043732,4,4
6001,1920,90015,11521920,23520,0.6625000238418579,128,6000,0.050661325454711914,1920,17,4,500000,1000,,6001.0,0.6838541626930237,0.5907776355743408,0.6625000238418579,0.6087440848350525,29,1818043732,4,4
7001,1920,105015,13441920,23520,0.6625000238418579,128,7000,0.05529022216796875,1920,17,4,500000,1000,,7001.0,0.684374988079071,0.590215802192688,0.6583333611488342,0.6080933809280396,33,1818043732,4,4
8001,1920,120015,15361920,23520,0.6583333611488342,128,8000,0.05986833572387695,1920,17,4,500000,1000,,8001.0,0.6838541626930237,0.5897911190986633,0.65625,0.6071175932884216,38,1818043732,4,4
9001,1920,135015,17281920,23520,0.65625,128,9000,0.06479048728942871,1920,17,4,500000,1000,,9001.0,0.6875,0.5894445180892944,0.65625,0.6070299744606018,43,1818043732,4,4
