pf_calls,num_answers,model_updates,num_grad_comps,answers_bytes,last_score,batch_size,k,elapsed_time,train_data,n,d,max_epochs,verbose,ident,_epochs,score_train,loss_train,score_test,loss_test,_elapsed_time,seed,run_id,dim
1,1920,15,1920,23520,0.4937500059604645,128,0,0.020756006240844727,1920,17,5,500000,1000,,1.0,0.5229166746139526,0.6931471228599548,0.5166666507720947,0.6931472420692444,0,1060338480,2,5
1001,1920,15015,1921920,23520,0.5166666507720947,128,1000,0.024560213088989258,1920,17,5,500000,1000,,1001.0,0.659375011920929,0.616212010383606,0.6708333492279053,0.6141324639320374,3,1060338480,2,5
2001,1920,30015,3841920,23520,0.6708333492279053,128,2000,0.028338909149169922,1920,17,5,500000,1000,,2001.0,0.6723958253860474,0.6038086414337158,0.6875,0.6000649333000183,7,1060338480,2,5
3001,1920,45015,5761920,23520,0.6875,128,3000,0.0321040153503418,1920,17,5,500000,1000,,3001.0,0.675000011920929,0.5998832583427429,0.6916666626930237,0.5952360033988953,11,1060338480,2,5
4001,1920,60015,7681920,23520,0.6916666626930237,128,4000,0.03589510917663574,1920,17,5,500000,1000,,4001.0,0.6781250238418579,0.5980414748191833,0.6958333253860474,0.5929920077323914,15,1060338480,2,5
5001,1920,75015,9601920,23520,0.6958333253860474,128,5000,0.0397801399230957,1920,17,5,500000,1000,,5001.0,0.6796875,0.5969314575195312,0.6916666626930237,0.5927555561065674,19,1060338480,2,5
6001,1920,90015,11521920,23520,0.6916666626930237,128,6000,0.04392504692077637,1920,17,5,500000,1000,,6001.0,0.6807291507720947,0.5961809754371643,0.6979166865348816,0.5920842289924622,23,1060338480,2,5
7001,1920,105015,13441920,23520,0.6979166865348816,128,7000,0.048075199127197266,1920,17,5,500000,1000,,7001.0,0.6802083253860474,0.5956066250801086,0.6895833611488342,0.5911431908607483,27,1060338480,2,5
8001,1920,120015,15361920,23520,0.6895833611488342,128,8000,0.05187630653381348,1920,17,5,500000,1000,,8001.0,0.6796875,0.5951441526412964,0.6854166388511658,0.5912166833877563,31,1060338480,2,5
9001,1920,135015,17281920,23520,0.6854166388511658,128,9000,0.05574631690979004,1920,17,5,500000,1000,,9001.0,0.6812499761581421,0.5947489142417908,0.6875,0.5915372371673584,35,1060338480,2,5
10001,1920,150015,19201920,23520,0.6875,128,10000,0.05951118469238281,1920,17,5,500000,1000,,10001.0,0.6817708611488342,0.5943811535835266,0.6895833611488342,0.5914354920387268,39,1060338480,2,5
11001,1920,165015,21121920,23520,0.6895833611488342,128,11000,0.06325697898864746,1920,17,5,500000,1000,,11001.0,0.6791666746139526,0.5940403342247009,0.6854166388511658,0.5918100476264954,43,1060338480,2,5
12001,1920,180015,23041920,23520,0.6854166388511658,128,12000,0.06712794303894043,1920,17,5,500000,1000,,12001.0,0.6796875,0.5937139987945557,0.6854166388511658,0.5916280150413513,46,1060338480,2,5
13001,1920,195015,24961920,23520,0.6854166388511658,128,13000,0.07089996337890625,1920,17,5,500000,1000,,13001.0,0.6786458492279053,0.5934083461761475,0.6854166388511658,0.5918353199958801,50,1060338480,2,5
14001,1920,210015,26881920,23520,0.6854166388511658,128,14000,0.07465696334838867,1920,17,5,500000,1000,,14001.0,0.6781250238418579,0.593148946762085,0.6875,0.5921846628189087,54,1060338480,2,5
15001,1920,225015,28801920,23520,0.6875,128,15000,0.07845687866210938,1920,17,5,500000,1000,,15001.0,0.6786458492279053,0.5929154753684998,0.6895833611488342,0.5924296975135803,58,1060338480,2,5
16001,1920,240015,30721920,23520,0.6895833611488342,128,16000,0.08223366737365723,1920,17,5,500000,1000,,16001.0,0.676562488079071,0.5927238464355469,0.6916666626930237,0.5928522348403931,62,1060338480,2,5
17001,1920,255015,32641920,23520,0.6916666626930237,128,17000,0.08604764938354492,1920,17,5,500000,1000,,17001.0,0.6776041388511658,0.592544436454773,0.6895833611488342,0.5932171940803528,66,1060338480,2,5
18001,1920,270015,34561920,23520,0.6895833611488342,128,18000,0.08986449241638184,1920,17,5,500000,1000,,18001.0,0.6796875,0.5923919081687927,0.6916666626930237,0.5932961106300354,70,1060338480,2,5
19001,1920,285015,36481920,23520,0.6916666626930237,128,19000,0.09368467330932617,1920,17,5,500000,1000,,19001.0,0.6786458492279053,0.5922610759735107,0.6895833611488342,0.5931577086448669,73,1060338480,2,5
20001,1920,300015,38401920,23520,0.6895833611488342,128,20000,0.09748172760009766,1920,17,5,500000,1000,,20001.0,0.6786458492279053,0.5921508073806763,0.6895833611488342,0.5934556722640991,77,1060338480,2,5
21001,1920,315015,40321920,23520,0.6895833611488342,128,21000,0.10127568244934082,1920,17,5,500000,1000,,21001.0,0.6802083253860474,0.5920423269271851,0.6937500238418579,0.5936353206634521,81,1060338480,2,5
