word,dim_0,dim_1
design pattern,0.4687689,-0.19273485
heuristic,0.53677166,0.16571577
requirement,-0.59221923,-0.23812097
implication,0.24763547,0.6736257
principle,0.07932461,-0.33511648
rule of thumb,0.25024685,-0.037570506
consideration,0.42219993,0.40729696
common practice,0.30548382,-0.108202115
convention,0.172059,-0.11624012
recommendation,0.16362703,0.2352055
best practice,0.17190778,0.15902877
standard,-0.09690206,-0.16684106
norm,-0.05108385,-0.19277667
guardrail,-0.274086,0.2976455
paradigm,0.1814719,-0.5807278
style guide,0.09652793,0.07899239
guideline,0.120883435,0.16642563
