participant_id,collection,consent,started_at,consented_at,completed_at,n_trials,user_agent,demo_gender,demo_years_in_vis
1KUI9n7vaeW4S7BRWGVI36Au3EF3,vis-guidelines-scale-true-run,TRUE,2026-06-19T15:19:21Z,2026-06-19T15:19:26Z,2026-06-19T15:22:35Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Male,20
2NVAqL4ehKhgT1gGoM6IxyN3TlE3,vis-guidelines-scale-true-run,TRUE,2026-06-11T00:51:39Z,2026-06-11T00:51:46Z,2026-06-11T00:56:05Z,68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:151.0) Gecko/20100101 Firefox/151.0,Male,25
3yvQ3Lwu0MRx7ycm4CJriumWYcV2,vis-guidelines-scale-true-run,TRUE,2026-06-18T11:42:49Z,2026-06-18T11:42:54Z,2026-06-18T11:52:19Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Female,20
7YVtl7WBlye43pZqYFmQK3ZYPjg1,vis-guidelines-scale-true-run,TRUE,2026-06-09T21:18:45Z,2026-06-09T21:19:52Z,2026-06-09T21:26:59Z,68,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:151.0) Gecko/20100101 Firefox/151.0,Male,6
CHQinQu2J1V2XpmnXBpaGdZy34G3,vis-guidelines-scale-true-run,TRUE,2026-06-18T09:12:25Z,2026-06-18T09:12:34Z,2026-06-18T09:19:48Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",f,15
DruNyv3cxQaLk3ogbGklxTVIJIg2,vis-guidelines-scale-true-run,TRUE,2026-06-17T02:51:22Z,2026-06-17T02:51:28Z,2026-06-17T06:43:39Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",m,15
F7lvZyKHuPgIHsAUkldQcpG0ku22,vis-guidelines-scale-true-run,TRUE,2026-06-10T16:36:37Z,2026-06-10T16:37:32Z,2026-06-10T16:42:59Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Female,5
Fpw6uWxOZfdlyJ1ULOkCvAyoSLl2,vis-guidelines-scale-true-run,TRUE,2026-06-19T10:45:50Z,2026-06-19T10:50:01Z,2026-06-19T10:57:17Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",male,11
Hd3rgEZckCcmGyM4ZSVclIxY8BC2,vis-guidelines-scale-true-run,TRUE,2026-06-18T14:46:35Z,2026-06-18T14:46:58Z,2026-06-18T14:54:04Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",Male,35
IYGHf922OufQb5BZNSSQbaYdtEb2,vis-guidelines-scale-true-run,TRUE,2026-06-10T23:15:15Z,2026-06-10T23:15:19Z,2026-06-10T23:24:47Z,68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:149.0) Gecko/20100101 Firefox/149.0,Female,3
